"goal_assist","total_assists"
NULL,"246"
"Karim Benzema","44"
"Gareth Bale","29"
"Mesut Ozil","26"
"Marcelo","23"
"Angel Di Maria","22"
"Ryan Giggs","18"
"Gonzalo Higuain","16"
"Isco","16"
"Luka Modric","14"
"Daniel Carvajal","12"
"Kaka","11"
"Sergio Ramos","11"
"James Rodriguez","10"
"Toni Kroos","10"
"Wayne Rooney","10"
"Lucas Vazquez","9"
"Xabi Alonso","8"
"Miralem Pjanic","7"
"alvaro Morata","6"
"Paul Scholes","6"
"Paulo Dybala","6"
"Sami Khedira","6"
"Casemiro","5"
"Juan Cuadrado","5"
"Pepe","5"
"Rodrigo Bentancur","5"
"Aaron Ramsey","4"
"alvaro Arbeloa","4"
"Danilo","4"
"Fabio CoentrÃ£o","4"
"Jese","4"
"Michael Carrick","4"
"Nani","4"
"Ruud van Nistelrooy","4"
"Blaise Matuidi","3"
"Bruno Fernandes","3"
"Carlos Tevez","3"
"Chicharito","3"
"Dimitar Berbatov","3"
"Federico Chiesa","3"
"Gary Neville","3"
"Guti","3"
"Louis Saha","3"
"Mario Mandzukic","3"
"Alex Sandro","2"
"Alex Telles","2"
"Douglas Costa","2"
"Esteban Granero","2"
"Federico Bernardeschi","2"
"Giorgio Chiellini","2"
"JoÃ£o Cancelo","2"
"John OShea","2"
"Jose CallejÃ³n","2"
"Luke Shaw","2"
"Marco Asensio","2"
"Mateo Kovacic","2"
"Nemanja MatiÄ‡","2"
"Patrice Evra","2"
"Wes Brown","2"
"	","1"
"Abdulrahman Ghareeb","1"
"Adrien Rabiot","1"
"Anderson","1"
"Anthony Elanga","1"
"Ayman Yahya","1"
"Borja Mayoral","1"
"Carlos Martins","1"
"Cesar Prates","1"
"Edwin van der Sar","1"
"Emre Can","1"
"Ezequiel Garay","1"
"Fred","1"
"Jadon Sancho","1"
"Jesse Lingard","1"
"Ji-sung Park","1"
"Lassana Diarra","1"
"Leonardo Bonucci","1"
"Leonardo Spinazzola","1"
"Marcus Rashford","1"
"Mason Greenwood","1"
"Merih Demiral","1"
"Nacho Fernandez","1"
"Nemanja Vidicâ€Ž","1"
"Ole Gunnar Solskjaer","1"
"Owen Hargreaves","1"
"Roy Keane","1"
"Rui Jorge","1"
"Sami Al-Najei","1"
"Scott McTominay","1"
"Sergio Canales","1"
"Sultan Al-Ghannam","1"
